user_id	smiles	start_time	end_time	undos	predictions_used	rubs	prediction_type	group_id	smiles_drawn	time_taken
6	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	2017-03-23 14:38:03	2017-03-23 14:38:28	0	0	0	2	1	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	00:00:25
6	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	2017-03-23 14:45:30	2017-03-23 14:46:00	0	0	0	1	1	C(=O)1C(C2=CC=CC=C2)C(C2=CC=CC=C2)C=C2C3=CC=CC=C3S(=O)(=O)N12	00:00:30
6	C(=O)1CCCC1	2017-03-23 14:34:53	2017-03-23 14:34:51	0	0	0	0	1	C(=O)1CCCC1	-00:00:02
6	C(=O)1CCCC1	2017-03-23 14:35:46	2017-03-23 14:35:45	0	0	0	2	1	C(=O)1CCCC1	-00:00:01
6	C(=O)1CCCC1	2017-03-23 14:38:42	2017-03-23 14:38:38	0	1	0	1	1	C(=O)1CCCC1	-00:00:04
6	C(=O)1CCCC1	2017-03-23 14:39:22	2017-03-23 14:39:18	0	1	0	3	1	C(=O)1CCCC1	-00:00:04
6	C12=CC=CC=C1SC1=NC(C3=CC=CC=C3)CN12	2017-03-23 14:35:20	2017-03-23 14:35:32	0	0	0	1	1	C1C(C2=CC=CC=C2)N=C2SC3=CC=CC=C3N12	00:00:12
6	C12=CC=CC=C1SC1=NC(C3=CC=CC=C3)CN12	2017-03-23 14:37:39	2017-03-23 14:37:49	0	0	0	2	1	C1C(C2=CC=CC=C2)N=C2SC3=CC=CC=C3N12	00:00:10
6	C12=CC=CC=C1SC1=NC(C3=CC=CC=C3)CN12	2017-03-23 14:40:01	2017-03-23 14:40:07	0	0	0	0	1	C1C(C2=CC=CC=C2)N=C2SC3=CC=CC=C3N12	00:00:06
6	C12=CC=CC=C1SC1=NC(C3=CC=CC=C3)CN12	2017-03-23 14:46:14	2017-03-23 14:46:23	0	0	0	3	1	C1C(C2=CC=CC=C2)N=C2SC3=CC=CC=C3N12	00:00:09
6	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	2017-03-23 14:36:14	2017-03-23 14:36:33	0	0	0	0	1	C1=C(OC)C=CC(CC(N2C=NC=C2)=O)=C1	00:00:19
6	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	2017-03-23 14:39:34	2017-03-23 14:39:32	0	1	0	1	1	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	-00:00:02
6	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	2017-03-23 14:39:48	2017-03-23 14:39:45	0	1	0	3	1	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	-00:00:03
6	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	2017-03-23 14:46:40	2017-03-23 14:46:37	0	1	0	2	1	C1=C(OC)C=CC(CC(N2C=CN=C2)=O)=C1	-00:00:03
6	C1=CC=CC2[Se]C(Cl)=NC12	2017-03-23 14:34:27	2017-03-23 14:34:38	0	0	0	0	1	C1=CC=CC2[Se]C(Cl)=NC12	00:00:11
6	C1=CC=CC2[Se]C(Cl)=NC12	2017-03-23 14:35:05	2017-03-23 14:35:04	0	1	0	3	1	C1=CC=CC2[Se]C(Cl)=NC12	-00:00:01
6	C1=CC=CC2[Se]C(Cl)=NC12	2017-03-23 14:36:47	2017-03-23 14:36:44	0	1	0	2	1	C1=CC=CC2[Se]C(Cl)=NC12	-00:00:03
6	C1=CC=CC2[Se]C(Cl)=NC12	2017-03-23 14:42:25	2017-03-23 14:42:24	0	1	0	1	1	C1=CC=CC2[Se]C(Cl)=NC12	-00:00:01
6	C1C=CC=C2C=1C=CN2	2017-03-23 14:38:54	2017-03-23 14:38:53	0	0	0	2	1	C1=CC=CC2NC=CC12	-00:00:01
6	C1C=CC=C2C=1C=CN2	2017-03-23 14:39:09	2017-03-23 14:39:08	0	0	0	3	1	C1=CC=CC2NC=CC12	-00:00:01
6	C1C=CC=C2C=1C=CN2	2017-03-23 14:42:38	2017-03-23 14:42:35	0	0	0	0	1	C1=CC=CC2NC=CC12	-00:00:03
6	C1C=CC=C2C=1C=CN2	2017-03-23 14:48:14	2017-03-23 14:48:22	0	0	0	1	1	C1=CC=CC2NC=CC1=2	00:00:08
6	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	2017-03-23 14:40:25	2017-03-23 14:42:10	2	0	0	3	1	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	00:01:45
6	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	2017-03-23 14:42:51	2017-03-23 14:44:02	1	0	0	2	1	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	00:01:11
6	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	2017-03-23 14:44:17	2017-03-23 14:45:16	1	0	0	0	1	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	00:00:59
6	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	2017-03-23 14:46:55	2017-03-23 14:47:56	0	1	0	1	1	O1C([C@H]2O[C@@H](CCCCCCOCC3=CC=CC=C3)CCC2)=CC=C1CCCCCC	00:01:01
7	C(C(O)(C)C)(C)(O)C	2017-03-17 17:45:58	2017-03-17 17:46:15	0	0	0	0	2	C(C)(C)(O)C(O)(C)C	00:00:17
7	C(C(O)(C)C)(C)(O)C	2017-03-17 17:46:18	2017-03-17 17:46:34	0	1	0	2	2	C(C(O)(C)C)(C)(O)C	00:00:16
7	C(C(O)(C)C)(C)(O)C	2017-03-17 17:48:22	2017-03-17 17:48:38	1	1	0	1	2	C(C(O)(C)C)(C)(O)C	00:00:16
7	C(C(O)(C)C)(C)(O)C	2017-03-17 17:55:03	2017-03-17 17:55:16	2	1	0	3	2	C(C(O)(C)C)(C)(O)C	00:00:13
7	C1(C=C(C)N=CC=1)Br	2017-03-17 17:44:18	2017-03-17 17:45:00	0	0	0	3	2	C(C)1=NC=CC(Br)=C1	00:00:42
